Name,SMILES,Mol Wt,LogP,TPSA,HBD,HBA,AtomCount,RotatableBonds,MR,Lipinski,Ghose,Veber,Egan,PassScore
Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,280.415,3.8750000000000027,6.48,0,2,21,4,90.46900000000007,True,True,True,True,4
4-Aminosalicylic Acid,C1=CC(=C(C=C1N)O)C(=O)O,153.137,0.6726,83.55,3,3,11,1,39.4785,True,False,True,True,3
Phenelzine,C1=CC=C(C=C1)CCNN,136.19799999999998,0.6924000000000001,38.05,2,2,10,3,42.33610000000001,True,False,True,True,3
"1,8-Dihydroxyanthraquinone",C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,240.21399999999997,1.8731999999999993,74.6,2,4,18,0,63.07860000000002,True,False,True,True,3
Tacrine,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,198.26899999999995,2.6958,38.91,1,2,15,0,62.79740000000003,True,False,True,True,3
Isoproterenol,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,211.261,1.1291999999999998,72.72,4,4,15,4,57.870100000000036,True,False,True,True,3
Dicyclomine,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,309.4940000000001,4.402200000000004,29.54,0,3,22,7,90.84000000000007,True,True,True,True,4
Trihexyphenidyl,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O,301.47399999999993,4.330500000000005,23.47,1,2,22,5,91.82180000000007,True,True,True,True,4
Haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,375.87100000000004,4.425600000000004,40.54,1,3,26,6,100.98730000000005,True,True,True,True,4
Perphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,403.9790000000002,3.9427000000000034,29.950000000000003,1,5,27,6,113.60580000000006,True,True,True,True,4
Chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,276.745,1.7379,75.27000000000001,2,3,17,4,65.46320000000003,True,False,True,True,3
Pilocarpine,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C,208.26100000000002,1.1618000000000002,44.12,0,4,15,3,55.14200000000003,True,False,True,True,3
Ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,204.314,-0.292599999999999,64.52,4,4,14,9,58.33500000000005,True,False,True,True,3
Memantine,CC12CC3CC(C1)(CC(C3)(C2)N)C,179.307,2.6941000000000006,26.02,1,1,13,0,54.32440000000004,True,False,True,True,3
Clenbuterol,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,277.195,2.997100000000001,58.28,3,3,17,3,73.58990000000001,True,False,True,True,3
Fluphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,437.5310000000002,4.308100000000004,29.950000000000003,1,5,30,6,113.59780000000006,True,True,True,True,4
Carbachol,C[N+](C)(C)CCOC(=O)N.[Cl-],182.65099999999998,-3.2080999999999973,52.32,1,2,11,3,38.434799999999996,True,False,True,False,2
Mescaline,COC1=CC(=CC(=C1OC)OC)CCN,211.26099999999994,1.2135999999999998,53.71,1,4,15,5,58.85640000000003,True,False,True,True,3
Pimozide,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,461.55600000000015,5.8570000000000055,41.03,1,3,34,7,131.1467,True,False,True,False,2
Promazine,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,284.42800000000005,4.241000000000003,6.48,0,3,20,4,87.18400000000005,True,True,True,True,4
Terbutaline,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,225.288,1.5192999999999999,72.72,4,4,16,3,62.48710000000004,True,False,True,True,3
Propantheline,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C,368.4970000000001,4.730800000000005,35.53,0,3,27,6,107.08340000000007,True,True,True,True,4
Amoxapine,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,313.788,3.4292000000000016,36.86,1,4,22,0,88.60770000000004,True,True,True,True,4
Tolazamide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,311.40700000000015,1.77392,78.50999999999999,2,4,21,3,80.07320000000004,True,True,True,True,4
Chlormezanone,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,273.741,1.6154999999999997,54.45,0,3,17,1,65.36680000000003,True,False,True,True,3
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,299.802,2.0023999999999997,67.59,2,4,20,7,82.53760000000004,True,True,True,True,4
Salbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,239.315,1.3059999999999998,72.72,4,4,17,4,66.74510000000004,True,False,True,True,3
Thioridazine,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,370.5870000000001,5.8856000000000055,6.48,0,4,25,4,110.68000000000005,True,False,True,False,2
Buspirone,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,385.5120000000001,2.0881999999999996,69.64000000000001,0,6,28,6,106.77400000000004,True,True,True,True,4
Mianserin,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,264.372,3.0839000000000016,6.48,0,2,20,0,83.27400000000006,True,True,True,True,4
Iproniazid,CC(C)NNC(=O)C1=CC=NC=C1,179.223,0.7243999999999996,54.019999999999996,2,3,13,3,49.97490000000003,True,False,True,True,3
Pergolide,CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC,314.49800000000005,4.271100000000003,19.03,1,2,22,4,96.88470000000005,True,True,True,True,4
Lactulose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,342.297,-5.395599999999993,189.52999999999997,8,11,23,5,68.64140000000003,False,False,False,False,0
Sulpiride,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,341.4330000000001,0.5567000000000012,101.73,2,5,23,6,86.96940000000005,True,True,True,True,4
Buspirone Hydrochloride,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4.Cl,421.9730000000001,2.510000000000001,69.64000000000001,0,6,29,6,114.02200000000003,True,True,True,True,4
Lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,321.163,3.1013000000000015,61.69,2,3,21,1,83.17950000000002,True,True,True,True,4
Desipramine Hydrochloride,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,302.849,3.954600000000004,15.27,1,2,21,4,93.08970000000005,True,True,True,True,4
Clomipramine Hydrochloride,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl.Cl,351.32099999999997,4.950200000000005,6.48,0,2,23,4,102.72700000000005,True,True,True,True,4
Triflupromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,352.425,5.259800000000004,6.48,0,3,24,4,92.18600000000006,True,True,True,False,3
Metaproterenol,CC(C)NCC(C1=CC(=CC(=C1)O)O)O,211.261,1.1291999999999998,72.72,4,4,15,4,57.870100000000036,True,False,True,True,3
Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,309.45300000000003,4.292000000000004,20.310000000000002,0,2,23,7,96.72800000000007,True,True,True,True,4
Imipramine Hydrochloride,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,316.87600000000003,4.296800000000005,6.48,0,2,22,4,97.71700000000006,True,True,True,True,4
Oxazepam,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,286.718,2.447900000000001,61.69,2,3,20,1,78.16950000000003,True,True,True,True,4
Sodium Valproate,CCCC(CCC)C(=O)[O-].[Na+],166.196,-2.043299999999997,40.129999999999995,0,2,11,5,38.312999999999995,True,False,True,False,2
"3,4-Methylenedioxyamphetamine",CC(CC1=CC2=C(C=C1)OCO2)N,179.21899999999994,1.3049999999999997,44.480000000000004,1,3,13,2,49.91840000000003,True,False,True,True,3
Cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,275.39500000000004,4.553800000000004,3.24,0,1,21,3,92.06200000000005,True,True,True,True,4
"7-Chloro-2-(methylimino)-5-phenyl-2,3-dihydro-4H-1,4-benzodiazepin-4-ol",CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,299.761,1.8492,48.19,1,3,21,1,83.03650000000003,True,True,True,True,4
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,369.36800000000005,3.515220000000002,67.87,1,4,25,5,86.73010000000005,True,True,True,True,4
Flunarizine,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,404.5040000000001,5.3852000000000055,6.48,0,2,30,6,118.13200000000005,True,True,True,False,3
Prochlorperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,373.9530000000001,4.580200000000004,9.72,0,4,25,4,107.57700000000004,True,True,True,True,4
Trimipramine,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,294.44199999999995,4.121000000000003,6.48,0,2,22,4,95.01600000000006,True,True,True,True,4
Thioridazine Hydrochloride,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl,407.04800000000006,6.307400000000007,6.48,0,4,26,4,117.92800000000004,True,False,True,False,2
Cyclobenzaprine Hydrochloride,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,311.85600000000005,4.9756000000000045,3.24,0,1,22,3,99.31000000000004,True,True,True,True,4
Betahistine,CNCCC1=CC=CC=N1,136.19799999999995,0.8434999999999999,24.92,1,2,10,3,41.86770000000002,True,False,True,True,3
Pirenzepine,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,351.4100000000001,1.559399999999999,68.78,1,5,26,2,99.71520000000002,True,True,True,True,4
Procyclidine,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,287.44699999999995,3.9404000000000035,23.47,1,2,21,5,87.20480000000006,True,True,True,True,4
Cromolyn,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O,468.3700000000002,2.1144999999999996,173.71,3,9,34,8,115.88340000000008,True,True,False,False,2
Tiapride,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC,328.43400000000014,1.1703000000000001,75.71000000000001,1,5,22,8,86.22500000000005,True,True,True,True,4
Fluphenazine Hydrochloride,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl,510.45300000000015,5.151700000000006,29.950000000000003,1,5,32,6,128.09380000000004,False,False,True,False,1
Proglumide,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)C1=CC=CC=C1,334.41600000000005,2.2984,86.71000000000001,2,3,24,10,91.72800000000005,True,True,True,True,4
Trazodone Hydrochloride,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl,408.333,2.7835000000000014,45.78,0,6,27,5,111.42200000000001,True,True,True,True,4
Maprotiline,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,277.41100000000006,4.211400000000004,12.03,1,1,21,4,87.90170000000006,True,True,True,True,4
Bethanechol,CC(C[N+](C)(C)C)OC(=O)N,161.22499999999997,0.17640000000000045,52.32,1,2,11,3,43.0298,True,False,True,True,3
Neostigmine,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,223.29599999999996,1.9437,29.540000000000003,0,2,16,2,65.71900000000004,True,False,True,True,3
Isopropamide,CC(C)[N+](C)(CCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N)C(C)C,353.53000000000014,4.111500000000002,43.09,1,1,26,8,108.79880000000007,True,True,True,True,4
Trifluoperazine Hydrochloride,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl,480.4270000000001,5.7892000000000055,9.72,0,4,30,4,122.06500000000004,True,False,True,False,2
Temazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,300.745,2.472200000000001,52.900000000000006,1,3,21,1,82.94980000000001,True,True,True,True,4
Maprotiline Hydrochloride,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.Cl,313.872,4.633200000000005,12.03,1,1,22,4,95.14970000000005,True,True,True,True,4
Phenelzine Sulfate,C1=CC=C(C=C1)CCNN.OS(=O)(=O)O,234.277,0.03960000000000019,112.64999999999999,4,4,15,3,56.513500000000015,True,False,True,True,3
Flunitrazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,313.288,2.5477000000000007,75.81,0,4,23,2,83.41240000000003,True,True,True,True,4
Viloxazine Hydrochloride,CCOC1=CC=CC=C1OCC2CNCCO2.Cl,273.75999999999993,1.8742999999999994,39.72,1,4,18,5,72.96370000000003,True,False,True,True,3
Viloxazine,CCOC1=CC=CC=C1OCC2CNCCO2,237.29899999999992,1.4525,39.72,1,4,17,5,65.71570000000004,True,False,True,True,3
Tulobuterol,CC(C)(C)NCC(C1=CC=CC=C1Cl)O,227.735,2.761500000000001,32.26,2,2,15,3,64.16750000000003,True,False,True,True,3
Alverine,CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2,281.443,4.5739000000000045,3.24,0,1,21,9,91.64000000000007,True,True,True,True,4
Benfluorex,CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2,351.368,4.083000000000003,38.33,1,3,25,7,89.33720000000004,True,True,True,True,4
Aniracetam,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,219.23999999999992,1.4578,46.61,0,3,16,2,58.271500000000024,True,False,True,True,3
Ritanserin,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,477.58000000000015,5.483020000000005,37.61000000000001,0,5,34,5,132.27599999999995,True,False,True,False,2
Bromopride,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br,344.253,2.1115,67.59,2,4,20,7,85.22760000000004,True,True,True,True,4
Pyridostigmine,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,181.21499999999997,0.5714999999999999,33.42,0,2,13,1,47.32900000000002,True,False,True,True,3
Fenspiride,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3,260.337,1.8034999999999994,41.57000000000001,1,3,19,3,73.03470000000004,True,False,True,True,3
Trimipramine Maleate,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C.C(=C\C(=O)O)\C(=O)O,410.51400000000007,3.8328000000000015,81.08,2,4,30,6,119.42760000000011,True,True,True,True,4
Mebeverine,CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC,429.55700000000024,4.6025000000000045,57.230000000000004,0,6,31,13,122.46950000000005,True,True,False,True,3
Piperidolate,CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3,323.43600000000004,3.8460000000000027,29.54,0,3,24,5,95.95500000000006,True,True,True,True,4
Promazine Hydrochloride,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,320.88900000000007,4.662800000000004,6.48,0,3,21,4,94.43200000000004,True,True,True,True,4
Minaprine,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3,298.39,2.1961199999999996,50.28,1,5,22,5,87.95370000000004,True,True,True,True,4
(-)-Eburnamonine,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2,294.3980000000001,3.774600000000003,25.240000000000002,0,3,22,1,87.15750000000006,True,True,True,True,4
(+-)-Ethopropazine,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31,312.482,5.019600000000005,6.48,0,3,22,5,96.39600000000007,True,True,True,False,3
Prochlorperazine Edisylate,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl.C(CS(=O)(=O)O)S(=O)(=O)O,564.1510000000003,3.342200000000001,118.46,2,8,35,7,140.40819999999994,True,False,True,True,3
Mepenzolate,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,340.44300000000004,2.7045000000000012,46.53,1,3,25,4,96.83920000000006,True,True,True,True,4
Oxyphencyclimine,CN1CCCN=C1COC(=O)C(C2CCCCC2)(C3=CC=CC=C3)O,344.455,2.7317000000000013,62.129999999999995,1,5,25,5,97.42180000000006,True,True,True,True,4
Pipenzolate,CC[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,354.4700000000001,3.0946000000000016,46.53,1,3,26,5,101.45620000000007,True,True,True,True,4
"10H-Phenothiazine-10-propanamine, N,N-dimethyl-2-(trifluoromethyl)-, monohydrochloride",CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F.Cl,388.886,5.681600000000004,6.48,0,3,25,4,99.43400000000005,True,False,True,False,2
Tiapride Hydrochloride,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl,364.89500000000015,1.5921,75.71000000000001,1,5,23,8,93.47300000000006,True,True,True,True,4
(Z)-Doxepin,CN(C)CC/C=C\1/C2=CC=CC=C2COC3=CC=CC=C31,279.383,3.9624000000000033,12.47,0,2,21,3,87.46600000000005,True,True,True,True,4
Gossypol Acetic Acid,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O.CC(=O)O,578.6140000000004,6.4731400000000106,192.81999999999996,7,9,42,5,158.61559999999986,False,False,False,False,0
Cidoxepin Hydrochloride,CN(C)CC/C=C\1/C2=CC=CC=C2COC3=CC=CC=C31.Cl,315.844,4.384200000000005,12.47,0,2,22,3,94.71400000000004,True,True,True,True,4
Spiperone,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,395.4780000000002,3.217100000000001,52.650000000000006,1,4,29,6,110.30020000000003,True,True,True,True,4
Methiothepin,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC,356.5600000000001,4.404300000000004,6.48,0,4,24,2,104.30300000000005,True,True,True,True,4
Lysergol,CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)CO,254.333,2.0299,39.260000000000005,2,2,19,1,76.97350000000002,True,False,True,True,3
Quipazine,C1CN(CCN1)C2=NC3=CC=CC=C3C=C2,213.28400000000002,1.6443999999999994,28.16,1,3,16,1,66.82570000000003,True,False,True,True,3
Minaprine Hydrochloride,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3.Cl.Cl,371.31199999999995,3.0397200000000018,50.28,1,5,24,5,102.44970000000002,True,True,True,True,4
